"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R11,R12";"R_0805_2012Metric";2;"120";;;
2;"R22,R21,R19,R20,R17,R18";"R_0805_2012Metric";6;"10K";;;
3;"R15,R13,R16,R14";"R_0805_2012Metric";4;"20K";;;
4;"R1,R2,R3,R8,R9,R5,R4,R7,R6";"R_0805_2012Metric";9;"470";;;
5;"U1";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
6;"U2";"ESP32-WROOM-32D";1;"ESP32-WROOM-32D";;;
7;"D3";"LED_0805_2012Metric";1;"LED_5V";;;
8;"J3";"Jack_XLR_Neutrik_NC3FAH2-0_Horizontal";1;"DMX2";;;
9;"D8";"LED_0805_2012Metric";1;"LED_DMX2_TX";;;
10;"U3,U4";"SOIC127P600X175-8N";2;"MAX485CSA";;;
11;"D4";"LED_0805_2012Metric";1;"LED_TX";;;
12;"C1,C2,C5";"CP_Elec_3x5.3";3;"10uF";;;
13;"C4,C3,C6";"C_0805_2012Metric";3;"100nF";;;
14;"J4";"BarrelJack_CUI_PJ-102AH_Horizontal";1;"Barrel_Jack_MountingPin";;;
15;"J1";"PinHeader_1x10_P2.54mm_Vertical";1;"GPIO Breakout";;;
16;"R10";"R_0805_2012Metric";1;"1k";;;
17;"D1";"LED_0805_2012Metric";1;"LED";;;
18;"D9";"LED_0805_2012Metric";1;"LED_DMX2_RX";;;
19;"D6";"LED_0805_2012Metric";1;"LED_DMX1_TX";;;
20;"D2";"LED_0805_2012Metric";1;"LED_33V";;;
21;"D5";"LED_0805_2012Metric";1;"LED_RX";;;
22;"D7";"LED_0805_2012Metric";1;"LED_DMX1_RX";;;
23;"J2";"Jack_XLR_Neutrik_NC3FAH2-0_Horizontal";1;"DMX1";;;
